LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-121.6418742,36.674714,385,E ALISAL STREET,,Salinas,,,93901,,e2cc57e47903ad9e
-121.7410311,36.6559073,13334,WARREN AVENUE,,East Garrison,,,93933,,43ad100b20c83742
-121.74088,36.655906,13338,WARREN AVENUE,,East Garrison,,,93933,,e051bec29b652e62
-121.7382228,36.656038,13513,WARREN AVENUE,,East Garrison,,,93933,,736ba2640943fc62
-121.7376659,36.6561507,13517,WARREN AVENUE,,East Garrison,,,93933,,90e29a640d503de2
-121.7375584,36.6562915,13525,WARREN AVENUE,,East Garrison,,,93933,,453b185ab4a72086
-121.7431574,36.6556125,13601,SHERMAN BOULEVARD,,East Garrison,,,93933,,a16c6f0eeb31ccb4
-121.7429942,36.655602,13605,SHERMAN BOULEVARD,,East Garrison,,,93933,,73cf2186994f31b8
-121.742813,36.6555847,13609,SHERMAN BOULEVARD,,East Garrison,,,93933,,12506bd6ab675944
-121.3151357,36.4379456,1193,SAN ANTONIO,,Soledad,,,93960,,7c2e8165fdf4daa2
-121.7418163,36.6555451,13621,SHERMAN BOULEVARD,,East Garrison,,,93933,,f3e42c6a32373d16
-121.8803637,36.5945302,1143,EIGHTH STREET,,Monterey,,,93940,,9d8907e82f245a6a
-121.6529332,36.6916404,933,N MAIN STREET,2,Salinas,,,93906,,7ef84e2ce40df0a6
-121.7416384,36.6555373,13625,SHERMAN BOULEVARD,,East Garrison,,,93933,,213b71858c399fcc
-121.6080129,36.705561,1188,WELLINGTON COURT,,Salinas,,,93906,,3fec5420e27ef3ca
-121.6211708,36.6869102,915,ACOSTA PLAZA,4,Salinas,,,93905,,737ce08d5bf5c88c
-121.7414485,36.6555249,13629,SHERMAN BOULEVARD,,East Garrison,,,93933,,da0486bf4d6b5df8
-121.7412588,36.6555174,13633,SHERMAN BOULEVARD,,East Garrison,,,93933,,0029b58126cc6b66
-121.740228,36.6550281,13702,SHERMAN BOULEVARD,,East Garrison,,,93933,,58ebe8865633a934
-121.5411782,36.589372,23510,HWY 101,,Salinas,,,93908,,3b5de5325fa15c24
-121.7541383,36.8777665,2280,SILVER STONE STREET,,Royal Oaks,,,95076,,df48b64520828724
-121.2614328,36.3154829,40007,APPLE AVENUE,,Greenfield,,,93927,,68f6eca901fb2da6
-121.7965373,36.2421045,9763,SYCAMORE CANYON ROAD,,Big Sur,,,93920,,048f11ec9e71dda8
-121.9224066,36.6287361,845,OCEAN VIEW BOULEVARD,,Pacific Grove,,,93950,,1f82bdb01a47cf7e
-121.8514576,36.5917433,8,AIRPORT ROAD,,Monterey,,,93940,,572f3b140e608c36
-121.6322838,36.6761065,75,N HEBBRON AVENUE,R,Salinas,,,93905,,b45151812f800660
-121.6581932,36.7069984,271,W ALVIN DRIVE,C\A,Salinas,,,93906,,28bf58606c4f90ca
-121.4437398,36.4330738,33602,RIVER ROAD,,Soledad,,,93960,,6345d757e6df032a
-121.6181149,36.7002858,1611,BUNKER HILL WAY,100,Salinas,,,93906,,56dac17bd1b33dcc
-121.4423247,36.5066078,250,BELDEN STREET,,Gonzales,,,93926,,1e30dd5a4fc34940
-121.893689,36.6019936,201,ALVARADO STREET,,Monterey,,,93940,,e6228f2f8358ca04
-121.6132932,36.7017669,1656,BEACON HILL DRIVE,,Salinas,,,93906,,1af7b56e0da8bdb4
-121.2585358,36.3140076,252,13TH,,Greenfield,,,93927,,d371958a7a3fc5c4
-121.8020095,36.2515446,46292,PFEIFFER RIDGE ROAD,,Big Sur,,,93920,,30b1c5954cd7592c
-121.7682156,36.5771451,417,LAS LADERAS DRIVE,,Monterey,,,93940,,5251f828d7a767be
-121.7316047,36.5388843,296,CORRAL DE TIERRA,,Salinas,,,93908,,2df12b4e296b2e58
-121.7043369,36.5281062,388,CORRAL DE TIERRA ROAD,A,Salinas,,,93908,,a818fe5953752e5c
-121.6091179,36.6910409,775,ELKINGTON AVENUE,C\A,Salinas,,,93905,,574ae5910573c548
-121.8840089,36.587067,500,GLENWOOD CIRCLE,538,Monterey,,,93940,,f9961b00bb3957aa
